Transaction ID,Sender Account ID,Receiver Account ID,Transaction Amount,Transaction Type,Date,Time,Transaction Status,Fraud Flag,Geolocation (Latitude/Longitude),Device Used,Network Slice ID,Latency (ms),Slice Bandwidth (Mbps),PIN Code,State
TXN3062186394,ACC15981,ACC42485,108460,Deposit,1/11/2022,0.439583333,Success,TRUE,"34.0522 N, 139.6917 W",Mobile,Slice3,91,212,8808,Vermont
TXN4541918858,ACC10284,ACC24018,25254,Transfer,1/11/2022,10:38:00 AM,Success,TRUE,"40.7128 N, -118.2437 W",Desktop,Slice1,97,151,1841,California
TXN7630113676,ACC54962,ACC12346,43885,Transfer,1/11/2022,10:05:00 AM,Success,FALSE,"51.5074 N, -74.006 W",Desktop,Slice3,77,243,8846,Wyoming
TXN8486454934,ACC39701,ACC54482,145547,Transfer,1/12/2022,0.417361111,Success,FALSE,"35.6895 N, 139.6917 W",Desktop,Slice1,82,129,7788,Nebraska
TXN4229370499,ACC11531,ACC53580,102350,Withdrawal,1/12/2022,10:55:00 AM,Success,TRUE,"34.0522 N, 2.3522 W",Desktop,Slice3,60,213,4495,Wyoming
TXN8552007460,ACC76710,ACC62664,105153,Transfer,1/12/2022,10:55:00 AM,Success,FALSE,"34.0522 N, 139.6917 W",Desktop,Slice3,99,69,6141,Montana
TXN1519832715,ACC65856,ACC49534,132863,Withdrawal,1/13/2022,0.422916667,Success,FALSE,"48.8566 N, 37.6173 W",Mobile,Slice2,84,100,8306,Wisconsin
TXN6355066290,ACC14006,ACC27800,50458,Deposit,1/13/2022,10:50:00 AM,Success,TRUE,"34.0522 N, 37.6173 W",Mobile,Slice1,93,173,9631,Pennsylvania
TXN4304334477,ACC14700,ACC95607,78677,Withdrawal,1/13/2022,10:23:00 AM,Success,TRUE,"48.8566 N, -74.006 W",Desktop,Slice3,84,188,9286,North Dakota
TXN2013672155,ACC12216,ACC68938,2593,Deposit,1/14/2022,0.424305556,Success,TRUE,"34.0522 N, -74.006 W",Mobile,Slice3,87,56,7937,Pennsylvania
TXN2166128709,ACC11156,ACC57086,7930,Deposit,1/14/2022,10:06:00 AM,Success,TRUE,"40.7128 N, 2.3522 W",Desktop,Slice1,88,179,4525,South Carolina
TXN1346181292,ACC56361,ACC44899,145556,Deposit,1/14/2022,10:39:00 AM,Success,FALSE,"40.7128 N, 139.6917 W",Mobile,Slice1,85,113,7071,Iowa
TXN1865967097,ACC45358,ACC35313,90938,Deposit,1/15/2022,0.432638889,Success,TRUE,"48.8566 N, 2.3522 W",Desktop,Slice2,98,73,5626,Louisiana
TXN8655304785,ACC62917,ACC77317,61424,Transfer,1/15/2022,10:58:00 AM,Success,TRUE,"55.7558 N, -74.006 W",Desktop,Slice3,53,181,9371,Tennessee
TXN1839190280,ACC48627,ACC12310,26607,Transfer,1/15/2022,10:57:00 AM,Success,FALSE,"51.5074 N, 0.1278 W",Desktop,Slice2,66,216,5406,Vermont
TXN7257989930,ACC95768,ACC53403,24612,Withdrawal,1/16/2022,0.419444444,Success,TRUE,"40.7128 N, -118.2437 W",Mobile,Slice2,80,190,7238,New Mexico
TXN5194651812,ACC39081,ACC11992,109869,Deposit,1/16/2022,10:13:00 AM,Success,TRUE,"34.0522 N, -118.2437 W",Desktop,Slice2,55,146,7035,Kentucky
TXN8725793891,ACC35927,ACC52926,87156,Deposit,1/16/2022,10:11:00 AM,Success,TRUE,"48.8566 N, 37.6173 W",Mobile,Slice1,62,68,1389,Louisiana
TXN5691669939,ACC53374,ACC72898,130514,Deposit,1/17/2022,0.428472222,Success,FALSE,"34.0522 N, 0.1278 W",Mobile,Slice1,96,87,7013,Utah
TXN9153984217,ACC34065,ACC67993,133825,Withdrawal,1/17/2022,10:37:00 AM,Success,TRUE,"55.7558 N, 2.3522 W",Desktop,Slice1,60,215,4624,Hawaii
TXN9328528150,ACC15595,ACC31081,131705,Withdrawal,1/17/2022,10:38:00 AM,Success,TRUE,"51.5074 N, -74.006 W",Mobile,Slice1,81,200,9169,Georgia
TXN3908230781,ACC15821,ACC43879,6555,Deposit,1/18/2022,0.45625,Success,FALSE,"34.0522 N, -118.2437 W",Mobile,Slice2,93,61,4302,Montana
TXN9743166792,ACC82066,ACC33985,138097,Deposit,1/18/2022,10:17:00 AM,Success,TRUE,"51.5074 N, 0.1278 W",Mobile,Slice2,93,246,9680,Connecticut
TXN1027199935,ACC37487,ACC77079,57622,Deposit,1/18/2022,10:14:00 AM,Success,FALSE,"48.8566 N, 37.6173 W",Desktop,Slice1,73,74,3939,Nevada
TXN3580164111,ACC68685,ACC36989,130996,Deposit,1/19/2022,0.445138889,Success,FALSE,"55.7558 N, 37.6173 W",Mobile,Slice3,75,132,1566,South Dakota
TXN4687071393,ACC53033,ACC71691,4990,Deposit,1/19/2022,0.441666667,Success,FALSE,"55.7558 N, -74.006 W",Desktop,Slice2,93,62,3258,Minnesota
TXN6682052855,ACC68764,ACC53807,78553,Transfer,1/19/2022,10:29:00 AM,Success,TRUE,"34.0522 N, -74.006 W",Desktop,Slice3,85,88,1993,Washington
TXN1519832715,ACC65856,ACC49534,74629,Transfer,1/19/2022,10:09:00 AM,Success,FALSE,"48.8566 N, 37.6173 W",Desktop,Slice2,60,100,8306,South Carolina
TXN2215717837,ACC95972,ACC50750,7701,Withdrawal,1/20/2022,0.458333333,Success,TRUE,"55.7558 N, 37.6173 W",Desktop,Slice1,55,56,1009,Oklahoma
TXN2575946300,ACC94127,ACC88828,137954,Withdrawal,1/20/2022,0.452777778,Success,TRUE,"55.7558 N, 0.1278 W",Desktop,Slice2,100,99,2774,Ohio
TXN4351744832,ACC55704,ACC24911,31936,Transfer,1/20/2022,10:13:00 AM,Success,TRUE,"40.7128 N, 2.3522 W",Desktop,Slice2,74,82,2092,Kentucky
TXN4654450936,ACC40448,ACC64201,8627,Deposit,1/20/2022,10:49:00 AM,Success,FALSE,"51.5074 N, -74.006 W",Mobile,Slice1,68,176,4167,Iowa
TXN2479413280,ACC76523,ACC95234,71481,Withdrawal,1/21/2022,0.457638889,Success,TRUE,"51.5074 N, 139.6917 W",Desktop,Slice1,64,95,4038,Nebraska
TXN5767453846,ACC83546,ACC68913,35018,Deposit,1/21/2022,0.422916667,Success,TRUE,"48.8566 N, 139.6917 W",Mobile,Slice3,76,169,3204,North Carolina
TXN5897093700,ACC70859,ACC83767,79281,Deposit,1/21/2022,10:25:00 AM,Success,TRUE,"48.8566 N, -74.006 W",Desktop,Slice3,59,141,9271,Georgia
TXN7190517370,ACC38736,ACC57803,115180,Deposit,1/21/2022,10:25:00 AM,Success,TRUE,"40.7128 N, 37.6173 W",Mobile,Slice3,92,236,6648,Indiana
TXN6355066290,ACC14006,ACC27800,4019,Transfer,1/22/2022,0.451388889,Success,FALSE,"34.0522 N, 37.6173 W",Mobile,Slice1,96,173,9631,South Carolina
TXN6641751619,ACC37684,ACC70681,92982,Transfer,1/22/2022,0.44375,Success,TRUE,"48.8566 N, -118.2437 W",Desktop,Slice1,90,183,6740,Kansas
TXN5863399870,ACC73740,ACC39244,113630,Withdrawal,1/22/2022,10:57:00 AM,Success,TRUE,"34.0522 N, 2.3522 W",Desktop,Slice1,51,205,7119,Montana
TXN2013672155,ACC12216,ACC68938,77105,Deposit,1/22/2022,10:11:00 AM,Success,FALSE,"34.0522 N, -74.006 W",Mobile,Slice2,65,56,7937,Louisiana
TXN7131992962,ACC25089,ACC78786,30524,Withdrawal,1/23/2022,0.446527778,Success,FALSE,"34.0522 N, 139.6917 W",Mobile,Slice3,81,139,7140,Alabama
TXN2964791595,ACC36472,ACC96893,66340,Deposit,1/23/2022,0.433333333,Success,TRUE,"34.0522 N, 0.1278 W",Mobile,Slice2,57,214,7499,Nevada
TXN3008400720,ACC96801,ACC67913,116301,Transfer,1/23/2022,10:07:00 AM,Success,TRUE,"35.6895 N, 0.1278 W",Mobile,Slice2,86,169,2975,California
TXN4902897998,ACC77412,ACC28013,69069,Withdrawal,1/23/2022,10:37:00 AM,Success,FALSE,"55.7558 N, -118.2437 W",Desktop,Slice1,77,56,9622,Wisconsin
TXN6766899632,ACC22489,ACC48565,30293,Deposit,1/24/2022,0.438194444,Success,FALSE,"55.7558 N, -74.006 W",Mobile,Slice2,62,143,7105,New Mexico
TXN2587701980,ACC51112,ACC72758,99176,Withdrawal,1/24/2022,0.448611111,Success,FALSE,"40.7128 N, 37.6173 W",Desktop,Slice3,65,231,4237,California
TXN8954205071,ACC49428,ACC33014,49243,Deposit,1/24/2022,10:41:00 AM,Success,TRUE,"48.8566 N, 37.6173 W",Mobile,Slice1,92,68,8997,Maryland
TXN7464084511,ACC59486,ACC87379,102937,Deposit,1/24/2022,10:50:00 AM,Success,TRUE,"40.7128 N, -118.2437 W",Desktop,Slice3,67,97,3281,New Hampshire
TXN8148340158,ACC21753,ACC20750,92548,Deposit,1/25/2022,0.455555556,Success,FALSE,"55.7558 N, 2.3522 W",Desktop,Slice2,76,104,1761,Louisiana
TXN7311146432,ACC64767,ACC81444,24646,Transfer,1/25/2022,0.45625,Success,TRUE,"55.7558 N, -74.006 W",Desktop,Slice1,79,153,8673,New Hampshire
TXN8076969401,ACC81687,ACC75202,68092,Deposit,1/25/2022,10:34:00 AM,Success,TRUE,"48.8566 N, 2.3522 W",Mobile,Slice2,93,207,3282,Florida
TXN4817965241,ACC95824,ACC83875,76793,Withdrawal,1/25/2022,10:02:00 AM,Success,TRUE,"40.7128 N, 37.6173 W",Mobile,Slice1,81,235,2438,Idaho
TXN2205129655,ACC32633,ACC42325,6302,Withdrawal,1/26/2022,0.424305556,Success,FALSE,"48.8566 N, -118.2437 W",Mobile,Slice2,73,216,1313,Kentucky
TXN6270102821,ACC91943,ACC35382,129521,Withdrawal,1/26/2022,0.436111111,Success,TRUE,"51.5074 N, -118.2437 W",Desktop,Slice1,76,96,9454,New Hampshire
TXN5541586171,ACC72546,ACC73085,6424,Deposit,1/26/2022,10:48:00 AM,Success,TRUE,"48.8566 N, -74.006 W",Mobile,Slice1,96,72,3997,Kentucky
TXN6686731977,ACC71715,ACC99902,61210,Deposit,1/26/2022,10:01:00 AM,Success,FALSE,"51.5074 N, 139.6917 W",Desktop,Slice1,73,78,9561,Tennessee
TXN1398097487,ACC99684,ACC66040,101195,Withdrawal,1/27/2022,0.452083333,Success,TRUE,"40.7128 N, -118.2437 W",Desktop,Slice1,58,187,3218,Nebraska
TXN5863399870,ACC73740,ACC39244,52062,Deposit,1/27/2022,0.45625,Success,TRUE,"34.0522 N, 2.3522 W",Mobile,Slice3,85,205,7119,Idaho
TXN2415439100,ACC92329,ACC71125,57499,Deposit,1/27/2022,10:30:00 AM,Success,TRUE,"55.7558 N, 37.6173 W",Mobile,Slice3,98,52,9001,California
TXN4258341246,ACC64877,ACC76710,147816,Deposit,1/27/2022,10:31:00 AM,Success,TRUE,"35.6895 N, -118.2437 W",Mobile,Slice1,86,117,1129,Virginia
TXN5340375676,ACC14278,ACC69811,106022,Deposit,1/28/2022,0.457638889,Success,FALSE,"51.5074 N, -118.2437 W",Desktop,Slice1,67,79,7852,Ohio
TXN7417651729,ACC26106,ACC21043,50641,Withdrawal,1/28/2022,0.422916667,Success,TRUE,"35.6895 N, 37.6173 W",Mobile,Slice3,87,61,3326,Wyoming
TXN4822238918,ACC27604,ACC93416,53950,Transfer,1/28/2022,10:54:00 AM,Success,TRUE,"55.7558 N, 2.3522 W",Desktop,Slice2,72,101,1771,Ohio
TXN2146674972,ACC37810,ACC38562,142354,Deposit,1/28/2022,10:13:00 AM,Success,FALSE,"55.7558 N, 2.3522 W",Mobile,Slice1,92,64,7157,Ohio
TXN3745560897,ACC34706,ACC74207,53202,Transfer,1/29/2022,0.425,Success,FALSE,"40.7128 N, 37.6173 W",Desktop,Slice3,59,123,8519,Michigan
TXN3085164852,ACC74608,ACC33619,80749,Transfer,1/29/2022,0.450694444,Success,TRUE,"35.6895 N, -74.006 W",Mobile,Slice2,73,52,6286,Hawaii
TXN3884612815,ACC79800,ACC11375,1041,Deposit,1/29/2022,10:12:00 AM,Success,TRUE,"40.7128 N, -74.006 W",Desktop,Slice1,72,151,8717,California
TXN3688144089,ACC86726,ACC75108,10591,Deposit,1/29/2022,10:58:00 AM,Success,TRUE,"34.0522 N, -74.006 W",Desktop,Slice3,92,82,4951,New Mexico
TXN6314106772,ACC18533,ACC39186,82597,Withdrawal,1/30/2022,0.425,Success,TRUE,"34.0522 N, -118.2437 W",Mobile,Slice2,58,132,6808,Missouri
TXN1245169622,ACC91787,ACC54608,120837,Deposit,1/30/2022,0.426388889,Success,TRUE,"34.0522 N, 2.3522 W",Mobile,Slice2,61,240,1874,Massachusetts
TXN5126223597,ACC49116,ACC36754,96529,Deposit,1/30/2022,10:18:00 AM,Success,TRUE,"40.7128 N, 2.3522 W",Desktop,Slice3,54,232,2547,Ohio
TXN7768798227,ACC29509,ACC11635,12610,Deposit,1/30/2022,10:23:00 AM,Success,FALSE,"40.7128 N, 37.6173 W",Desktop,Slice1,88,226,1229,South Dakota
TXN5952543306,ACC35980,ACC59716,23831,Transfer,1/31/2022,0.452777778,Success,TRUE,"48.8566 N, 37.6173 W",Desktop,Slice2,51,130,8375,Florida
TXN9237255174,ACC54120,ACC50698,68429,Deposit,1/31/2022,0.425694444,Success,TRUE,"34.0522 N, 0.1278 W",Mobile,Slice2,62,184,6602,Alaska
TXN7417651729,ACC26106,ACC21043,123686,Deposit,1/31/2022,10:09:00 AM,Success,TRUE,"35.6895 N, 37.6173 W",Mobile,Slice1,80,61,3326,Louisiana
TXN7372888615,ACC79388,ACC10131,50870,Deposit,1/31/2022,10:35:00 AM,Success,FALSE,"48.8566 N, 139.6917 W",Desktop,Slice3,89,168,6981,New York
TXN4030945603,ACC72184,ACC49474,134806,Transfer,2/1/2022,0.425694444,Success,FALSE,"51.5074 N, 37.6173 W",Desktop,Slice1,78,162,1918,Maine
TXN9200557220,ACC11202,ACC23780,80188,Transfer,2/1/2022,0.429861111,Success,TRUE,"35.6895 N, 37.6173 W",Mobile,Slice1,63,158,5249,Arkansas
TXN7538176865,ACC40510,ACC11454,41691,Transfer,2/1/2022,10:56:00 AM,Success,TRUE,"55.7558 N, 37.6173 W",Desktop,Slice2,80,129,9633,Illinois
TXN6496802872,ACC58666,ACC81007,61771,Deposit,2/1/2022,10:04:00 AM,Success,TRUE,"34.0522 N, 37.6173 W",Mobile,Slice1,72,131,6596,New Jersey
TXN3346151776,ACC67499,ACC22519,109725,Deposit,2/2/2022,0.44375,Success,TRUE,"48.8566 N, -118.2437 W",Desktop,Slice1,88,63,8138,Vermont
TXN7891760943,ACC69922,ACC52904,140598,Deposit,2/2/2022,0.446527778,Success,TRUE,"40.7128 N, 2.3522 W",Desktop,Slice3,93,184,1706,Tennessee
TXN3914566506,ACC45926,ACC76590,141746,Transfer,2/2/2022,10:25:00 AM,Success,TRUE,"40.7128 N, 2.3522 W",Desktop,Slice1,58,225,7119,Oklahoma
TXN2190673228,ACC47900,ACC15352,76451,Deposit,2/2/2022,10:44:00 AM,Success,FALSE,"51.5074 N, -118.2437 W",Desktop,Slice3,91,173,5776,Rhode Island
TXN1009840095,ACC54943,ACC49366,43655,Withdrawal,2/3/2022,0.433333333,Success,TRUE,"55.7558 N, 37.6173 W",Mobile,Slice2,63,82,4916,Arizona
TXN1600361546,ACC83231,ACC28803,46906,Transfer,2/3/2022,0.454166667,Success,TRUE,"34.0522 N, -74.006 W",Desktop,Slice2,56,125,3861,Utah
TXN6302601632,ACC91042,ACC98945,144748,Withdrawal,2/3/2022,10:11:00 AM,Success,TRUE,"51.5074 N, -118.2437 W",Mobile,Slice2,65,106,5199,Colorado
TXN3188343113,ACC17010,ACC45857,6698,Deposit,2/3/2022,10:16:00 AM,Success,FALSE,"35.6895 N, 2.3522 W",Desktop,Slice2,94,150,3056,Hawaii
TXN6686731977,ACC71715,ACC99902,13555,Deposit,2/4/2022,0.417361111,Success,FALSE,"51.5074 N, 139.6917 W",Mobile,Slice3,94,78,9561,Washington
TXN3026357479,ACC96637,ACC45161,133125,Withdrawal,2/4/2022,0.445138889,Success,TRUE,"34.0522 N, 0.1278 W",Mobile,Slice3,72,200,5563,Pennsylvania
TXN2088036535,ACC66635,ACC27770,106686,Deposit,2/4/2022,10:04:00 AM,Success,TRUE,"51.5074 N, 37.6173 W",Mobile,Slice2,73,228,9368,Hawaii
TXN5206029882,ACC37810,ACC28763,90527,Deposit,2/4/2022,10:50:00 AM,Success,FALSE,"55.7558 N, -118.2437 W",Mobile,Slice2,68,241,9950,West Virginia
TXN1256384918,ACC44416,ACC80838,130470,Deposit,2/5/2022,0.445833333,Success,FALSE,"51.5074 N, 37.6173 W",Desktop,Slice3,53,103,6624,Connecticut
TXN8622771982,ACC82285,ACC37850,92890,Deposit,2/5/2022,0.448611111,Success,TRUE,"48.8566 N, 139.6917 W",Mobile,Slice3,92,61,8005,South Dakota
TXN1675844695,ACC32328,ACC14535,64798,Deposit,2/5/2022,10:58:00 AM,Success,TRUE,"40.7128 N, 37.6173 W",Mobile,Slice3,66,109,3285,Missouri
TXN9984583310,ACC82235,ACC30295,92839,Withdrawal,2/5/2022,10:17:00 AM,Success,FALSE,"51.5074 N, 2.3522 W",Mobile,Slice2,59,247,4341,Ohio
TXN7764143012,ACC13209,ACC41609,42923,Deposit,2/6/2022,0.430555556,Success,TRUE,"40.7128 N, 0.1278 W",Mobile,Slice1,86,68,8550,New Jersey
TXN3797326632,ACC17079,ACC90748,43187,Transfer,2/6/2022,0.438888889,Success,TRUE,"55.7558 N, 2.3522 W",Mobile,Slice2,97,247,7476,Pennsylvania
TXN6661143500,ACC94124,ACC34396,49515,Transfer,2/6/2022,10:29:00 AM,Success,TRUE,"34.0522 N, 2.3522 W",Desktop,Slice1,87,70,1222,Oklahoma
TXN4290063257,ACC30916,ACC52983,39586,Transfer,2/6/2022,10:32:00 AM,Success,TRUE,"35.6895 N, 139.6917 W",Desktop,Slice2,62,116,8418,West Virginia
TXN2630496789,ACC11158,ACC54603,86734,Deposit,2/7/2022,0.447222222,Success,TRUE,"34.0522 N, 139.6917 W",Desktop,Slice2,82,136,2502,Idaho
TXN9270204123,ACC96790,ACC82293,114998,Deposit,2/7/2022,0.45625,Success,TRUE,"48.8566 N, -118.2437 W",Desktop,Slice2,64,230,2830,Wyoming
TXN3325189406,ACC51150,ACC42784,143340,Withdrawal,2/7/2022,10:37:00 AM,Success,TRUE,"51.5074 N, -74.006 W",Desktop,Slice3,80,222,9753,Oregon
TXN2945074212,ACC61414,ACC87149,65545,Deposit,2/7/2022,10:02:00 AM,Success,TRUE,"34.0522 N, 2.3522 W",Mobile,Slice3,56,195,1442,Arizona
TXN7206567493,ACC30969,ACC84687,24371,Transfer,2/8/2022,0.431944444,Success,FALSE,"51.5074 N, 139.6917 W",Desktop,Slice1,74,205,5339,Texas
TXN9420697084,ACC22693,ACC49786,78128,Deposit,2/8/2022,0.436805556,Success,FALSE,"48.8566 N, 37.6173 W",Desktop,Slice3,80,246,9415,Nevada
TXN6805586313,ACC13179,ACC18973,96738,Deposit,2/8/2022,10:41:00 AM,Success,TRUE,"34.0522 N, 2.3522 W",Mobile,Slice1,95,250,3441,Texas
TXN4507550717,ACC26647,ACC63782,45088,Transfer,2/8/2022,10:09:00 AM,Success,FALSE,"40.7128 N, -74.006 W",Desktop,Slice1,99,187,4375,Mississippi
TXN3216538238,ACC32554,ACC81725,86683,Deposit,2/9/2022,0.447916667,Failed,FALSE,"51.5074 N, 0.1278 W",Desktop,Slice3,91,157,2386,Nevada
TXN4884922166,ACC62562,ACC28489,106950,Deposit,2/9/2022,0.420833333,Failed,FALSE,"48.8566 N, 139.6917 W",Desktop,Slice1,86,105,1942,Maryland
TXN2113838138,ACC59845,ACC47976,39717,Transfer,2/9/2022,10:49:00 AM,Failed,TRUE,"55.7558 N, 37.6173 W",Mobile,Slice2,88,122,9347,Missouri
TXN4822042533,ACC27800,ACC69900,113522,Deposit,2/9/2022,11:00:00 AM,Failed,TRUE,"34.0522 N, -118.2437 W",Desktop,Slice2,51,192,4457,Pennsylvania
TXN1324014316,ACC89533,ACC37839,50237,Withdrawal,2/10/2022,0.434027778,Failed,FALSE,"34.0522 N, 0.1278 W",Desktop,Slice1,80,93,7518,Missouri
TXN1056906180,ACC62489,ACC84079,91818,Withdrawal,2/10/2022,0.45625,Failed,FALSE,"40.7128 N, -74.006 W",Desktop,Slice1,56,184,6500,Colorado
TXN2956253396,ACC98407,ACC76557,120774,Transfer,2/10/2022,10:31:00 AM,Success,TRUE,"55.7558 N, -74.006 W",Mobile,Slice2,82,231,8697,Virginia
TXN5282408511,ACC63134,ACC54899,25660,Withdrawal,2/10/2022,11:00:00 AM,Success,FALSE,"55.7558 N, 0.1278 W",Desktop,Slice3,65,149,4739,Arkansas
TXN6546831402,ACC95052,ACC66018,33719,Deposit,2/11/2022,0.45625,Success,FALSE,"40.7128 N, 2.3522 W",Mobile,Slice1,71,125,1810,South Carolina
TXN7021871590,ACC96779,ACC80536,58852,Deposit,2/11/2022,0.434722222,Success,FALSE,"40.7128 N, 0.1278 W",Desktop,Slice1,79,182,6370,Mississippi
TXN9549826715,ACC39544,ACC52922,89000,Deposit,2/11/2022,10:11:00 AM,Success,TRUE,"35.6895 N, 139.6917 W",Mobile,Slice3,52,243,7286,South Carolina
TXN5882730267,ACC69574,ACC42196,108781,Deposit,2/11/2022,10:32:00 AM,Success,TRUE,"55.7558 N, 0.1278 W",Desktop,Slice1,64,90,9062,Minnesota
TXN1864085218,ACC33315,ACC48785,102860,Transfer,2/12/2022,0.424305556,Success,FALSE,"48.8566 N, 2.3522 W",Mobile,Slice2,54,212,7808,Nevada
TXN6434340123,ACC18670,ACC55222,77479,Deposit,2/12/2022,0.430555556,Success,TRUE,"40.7128 N, 0.1278 W",Mobile,Slice2,70,103,9631,Iowa
TXN7131992962,ACC25089,ACC78786,78665,Withdrawal,2/12/2022,10:43:00 AM,Success,TRUE,"34.0522 N, 139.6917 W",Desktop,Slice2,56,139,7140,Alabama
TXN8236853729,ACC34544,ACC22881,133108,Transfer,2/12/2022,10:13:00 AM,Success,FALSE,"35.6895 N, 139.6917 W",Desktop,Slice3,61,136,9844,Pennsylvania
